,Country or Area,Commodity,Transaction,Year,Quantity Footnotes,Conversion_in_kWh
151297,Papua New Guinea,Oil products,Imports,2007,0.0,10278339420.0
151298,Papua New Guinea,Oil products,International aviation bunkers,2007,1.0,475800000.0
151299,Papua New Guinea,Oil products,International marine bunkers,2007,2.0,373956800.0
151300,Papua New Guinea,Oil products,Production,2007,0.0,7099247436.6
151301,Papua New Guinea,Oil products,Stock changes,2007,0.0,45833331.2
151302,Papua New Guinea,Oil products,Total energy supply,2007,0.0,15912691066.8
151303,Papua New Guinea,Oil products,Transfers and recycled products,2007,0.0,-625486657.4
151304,Papua New Guinea,Oil products,Transformation,2007,0.0,6015500000.0
151305,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2007,0.0,6015500000.0
151306,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2007,0.0,162500000.0
151307,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2007,0.0,162500000.0
151308,Papua New Guinea,Oil products,production from refineries,2007,0.0,7099247436.6
151309,Papua New Guinea,Oil products,Consumption by domestic aviation,2008,1.0,512400000.0
151310,Papua New Guinea,Oil products,Consumption by domestic navigation,2008,1.0,61000000.0
151311,Papua New Guinea,Oil products,Consumption by households,2008,1.0,273087400.0
151312,Papua New Guinea,Oil products,Consumption by industries not elsewhere specified,2008,0.0,170311113.2
151313,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel industry",2008,0.0,267472260.0
151314,Papua New Guinea,Oil products,"Consumption by manufacturing, construction and non-fuel mining industry",2008,1.0,4742381113.2
151315,Papua New Guinea,Oil products,Consumption by other,2008,2.0,1534417400.0
151316,Papua New Guinea,Oil products,Consumption by other consumers not elsewhere specified,2008,0.0,27300000.0
151317,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel ind.",2008,0.0,267472260.0
151318,Papua New Guinea,Oil products,"Consumption by other manuf., const. and non-fuel min. ind.",2008,1.0,4739770000.0
151319,Papua New Guinea,Oil products,"Consumption by other manufacturing, construction and non-fuel",2008,0.0,2611113.2
151320,Papua New Guinea,Oil products,Consumption by transport,2008,3.0,3971360000.0
151321,Papua New Guinea,Oil products,"Consumption in agriculture, forestry and fishing",2008,1.0,1234030000.0
151322,Papua New Guinea,Oil products,Consumption in road,2008,2.0,3397960000.0
151323,Papua New Guinea,Oil products,Consumption not elsewhere specified (industry),2008,1.0,5007242260.0
151324,Papua New Guinea,Oil products,Exports,2008,0.0,0.0
151325,Papua New Guinea,Oil products,Final consumption,2008,4.0,10683330773.2
151326,Papua New Guinea,Oil products,Final energy consumption,2008,4.0,10683330773.2
151327,Papua New Guinea,Oil products,Fuel oil,2008,0.0,3330000000.0
151328,Papua New Guinea,Oil products,Gas Oil/ Diesel Oil,2008,0.0,2618000000.0
151329,Papua New Guinea,Oil products,Imports,2008,0.0,8379837600.0
151330,Papua New Guinea,Oil products,International aviation bunkers,2008,1.0,512400000.0
151331,Papua New Guinea,Oil products,International marine bunkers,2008,2.0,373956800.0
151332,Papua New Guinea,Oil products,Production,2008,0.0,6768616900.0
151333,Papua New Guinea,Oil products,Stock changes,2008,0.0,13166668.4
151334,Papua New Guinea,Oil products,Total energy supply,2008,0.0,14248931031.6
151335,Papua New Guinea,Oil products,Transfers and recycled products,2008,0.0,-2254872181.6
151336,Papua New Guinea,Oil products,Transformation,2008,0.0,5948000000.0
151337,Papua New Guinea,Oil products,"Transformation in electricity, CHP and heat plants",2008,0.0,5948000000.0
151338,Papua New Guinea,Oil products,"consumption by manufacturing, construction and non-fuel mining industry",2008,0.0,167700000.0
151339,Papua New Guinea,Oil products,"consumption by other manuf., const. and non-fuel min. ind.",2008,0.0,167700000.0
