,Country or Area,Commodity - Transaction,Commodity,Transaction,Year,Unit,Quantity,Quantity Footnotes
273,Belgium,Animal waste - Final consumption,Animal waste,Final consumption,2014,Terajoules,97.0,1
274,Belgium,Animal waste - Final consumption,Animal waste,Final consumption,2013,Terajoules,133.0,1
275,Belgium,Animal waste - Final consumption,Animal waste,Final consumption,2012,Terajoules,263.0,1
276,Botswana,Animal waste - Production,Animal waste,Production,2003,Terajoules,1.0,
277,Botswana,Animal waste - Production,Animal waste,Production,2002,Terajoules,1.0,
278,Botswana,Animal waste - Production,Animal waste,Production,2001,Terajoules,1.0,
279,Botswana,Animal waste - Production,Animal waste,Production,2000,Terajoules,1.0,
280,Botswana,Animal waste - Production,Animal waste,Production,1999,Terajoules,1.0,
281,Botswana,Animal waste - Production,Animal waste,Production,1998,Terajoules,1.0,
282,Botswana,Animal waste - Production,Animal waste,Production,1997,Terajoules,1.0,
283,Botswana,Animal waste - Production,Animal waste,Production,1996,Terajoules,1.0,
284,Botswana,Animal waste - Production,Animal waste,Production,1995,Terajoules,1.0,
